sku;custo_variavel;custo_operacional
MF02435;83320,78456;5921,323175
PF00103;34394,15451;62493,94231
MF02204;142313,3492;118040,0014
MF02332;73717,73443;57726,25136
MF02381;73773,76995;193302,9524
MF02427;81743,54669;80203,3579
MF02431;83320,78456;5921,323175
MF02445;53039,28801;235462,6282
MF02449;101072,3405;62885,36204
MF02454;111526,6893;16330,68714
MF02473;86510,75009;46222,09732
MF02490;86453,70384;5921,323175
MF02374;87250,83868;40982,09625
MF02512;193925,1272;99803,53954
MF02440;119716,0877;24332,37679
MF02502;57113,32859;26812,35625
MF02382;80165,75921;70610,84016
MF02514;42994,99284;52772,39831
MF02379;64234,53611;115412,5355
MF02478;137978,9562;57086,1419
MF02501;103196,9876;23589,03576
MF02507;104820,3107;21375,70652
MF02505;102773,9997;24381,5242
MF02424;316369,9589;428442,7055
MF02509;362088,119;147313,8688
MF02494;100136,7008;17676,00181
MF02518;334016,8907;116207,028
MF02522;81265,06022;74977,05705
MF02439;170097,3135;302286,9156
MF02513;25240,05773;40788,66943
MF02508;104831,9998;23467,6314
MF02371;61062,66359;5273,488428
MF02495;126673,2075;101124,93
MF02480;274467,1351;147313,8688
MF02496;289206,4295;213488,3373
MF02521;57014,991;58872,67333
MF02468;92811,94735;1925,503725
MF02452;122368,2858;30753,44098
MF02467;79895,02076;16330,68714
MF02516;98316,94908;17676,00181
MF02506;58648,2424;66774,0353
MF02493;108332,2024;13776,83264
MF02503;96965,97651;16189,31976
MF02510;53969,71109;66774,0353
MF02486;89961,73124;48020,04055
MF02477;137978,9562;57086,1419
MF02444;54830,41444;73901,6883
MF02474;193074,7493;48411,0417
MF02461;83211,60571;5921,323175
MF02470;95630,45329;65205,21926
MF02412;85587,56725;111919,2965
MF02403;124269,5342;57726,25136
MF02222;286946,5287;190757,9376
MF02437;120326,7159;30988,75176
MF02491;86462,26614;5921,323175
MF02465;68894,58197;21239,27614
MF02270;249542,3561;545154,2424
MF02416;71890,96544;96128,8278
MF02483;199028,6676;29291,45706
MF02373;73131,62102;118040,0014
MF02352;106366,8415;296090,5652
MF02385;108748,3512;86845,0399
MF02485;83943,57329;60921,7157
MF02471;76684,79079;38870,36208
MF02463;93751,40587;58866,63322
MF02391;87413,7341;16330,68714
MF02436;281178,1023;110957,9475
MF02453;90049,24681;298763,7107
MF02224;98552,79714;67135,0827
MF02448;60418,01631;170251,7483
